n,p,run,seconds
85,1,1,0.079608
85,1,2,0.077908
85,1,3,0.079192
85,2,1,0.042390
85,2,2,0.040776
85,2,3,0.034767
85,4,1,0.030565
85,4,2,0.021662
85,4,3,0.026004
85,8,1,0.016993
85,8,2,0.014386
85,8,3,0.017010
85,16,1,0.009388
85,16,2,0.011459
85,16,3,0.012876
85,24,1,0.008078
85,24,2,0.010381
85,24,3,0.008433
85,32,1,0.012174
85,32,2,0.010273
85,32,3,0.010589
1150,1,1,10.335943
1150,1,2,10.341449
1150,1,3,10.338303
1150,2,1,5.332661
1150,2,2,5.326743
1150,2,3,5.403981
1150,4,1,2.804778
1150,4,2,2.799330
1150,4,3,2.800177
1150,8,1,1.495905
1150,8,2,1.486948
1150,8,3,1.492321
1150,16,1,0.931957
1150,16,2,0.886587
1150,16,3,0.879430
1150,24,1,0.884264
1150,24,2,0.878876
1150,24,3,0.877304
1150,32,1,0.878762
1150,32,2,0.882754
1150,32,3,0.878746
